0,20626
1,20626
2,20626
3,21010
4,20626
5,20626
6,20626
7,20626
8,21010
9,20626
10,20626
11,20626
12,20626
13,21010
14,21010
15,20626
16,20626
17,20626
18,20626
19,20626
20,21010
21,20626
22,21010
23,21010
24,21371
25,21010
26,21010
27,21010
28,21010
29,21010
30,20626
31,21010
32,20626
33,20626
34,20626
35,20626
36,20626
37,20626
38,21010
39,20626
40,20626
41,21010
42,21010
43,21010
44,23877
45,20626
46,20626
47,21010
48,21371
49,21010
50,23078
51,20626
52,21010
53,20626
54,20626
55,21371
56,21010
57,21010
58,21010
59,21371
60,21010
61,21010
62,21371
63,21371
64,21010
65,21010
66,21010
67,21010
68,23078
69,21010
70,23877
71,21010
72,23078
73,21010
74,20626
75,20626
76,20626
77,21010
78,21010
79,20626
80,20626
81,23078
82,20626
83,20626
84,21010
85,21010
86,21371
87,21371
88,21010
89,24272
90,21010
91,21010
92,24272
93,21010
94,21010
95,21010
96,23877
97,21010
98,20626
99,21010
